"from","to"
"Escherichia.coli.PTR","ARO.3002897SAT.4"
"Escherichia.coli.PTR","ARO.3000347ErmA"
"Escherichia.coli.PTR","ARO.3000251msrA"
"Escherichia.coli.PTR","ARO.3000521mupA"
"Escherichia.coli.PTR","ARO.3004039Escherichia"
"Escherichia.coli.PTR","ARO.3000191tetQ"
"Klebsiella.aerogenes.PTR","Escherichia.coli.abundance"
"Klebsiella.aerogenes.PTR","Escherichia.coli.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.aerogenes.PTR"
"Klebsiella.aerogenes.PTR","Staphylococcus.epidermidis.abundance"
"Klebsiella.aerogenes.PTR","Staphylococcus.epidermidis.PTR"
"Klebsiella.aerogenes.PTR","Enterococcus.faecium.abundance"
"Klebsiella.aerogenes.PTR","Enterococcus.faecium.PTR"
"Klebsiella.aerogenes.PTR","Citrobacter.freundii.abundance"
"Klebsiella.aerogenes.PTR","Citrobacter.freundii.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.pneumoniae.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.pneumoniae.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.variicola.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.variicola.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.cloacae.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.cloacae.PTR"
"Klebsiella.aerogenes.PTR","Bifidobacterium.longum.abundance"
"Klebsiella.aerogenes.PTR","Bifidobacterium.longum.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.roggenkampii.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.roggenkampii.PTR"
"Klebsiella.aerogenes.PTR","Enterococcus.faecalis.abundance"
"Klebsiella.aerogenes.PTR","Enterococcus.faecalis.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.quasipneumoniae.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.quasipneumoniae.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.michiganensis.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.michiganensis.PTR"
"Klebsiella.aerogenes.PTR","Clostridium.perfringens.abundance"
"Klebsiella.aerogenes.PTR","Clostridium.perfringens.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.oxytoca.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.oxytoca.PTR"
"Klebsiella.aerogenes.PTR","Bacteroides.fragilis.abundance"
"Klebsiella.aerogenes.PTR","Bacteroides.fragilis.PTR"
